Company,Year,Price_Begin,Price_End,Capital_Gain_%
AMBEV,2016,17.729999542236328,16.399999618530273,-7.501409802847059
AMBEV,2017,16.34000015258789,21.280000686645508,30.2325611256205
AMBEV,2018,21.329999923706055,15.380000114440918,-27.894982796752554
AMBEV,2019,15.399999618530273,18.670000076293945,21.233769732234254
AMBEV,2020,18.860000610351562,15.649999618530273,-17.020153170405717
AMBEV,2021,15.789999961853027,15.420000076293945,-2.343254505718573
AMBEV,2022,15.420000076293945,14.520000457763672,-5.836573372745275
AMBEV,2023,14.399999618530273,13.729999542236328,-4.652778430853378
AMBEV,2024,13.720000267028809,11.739999771118164,-14.431490214099185
B3,2016,3.5766661167144775,5.5,53.77448776382558
B3,2017,5.420000076293945,7.593332767486572,40.09838857195543
B3,2018,7.630000114440918,8.936665534973145,17.12536567409962
B3,2019,8.949999809265137,14.323332786560059,60.03724124923879
B3,2020,14.393333435058594,20.65999984741211,43.538673238052475
B3,2021,20.713333129882812,11.140000343322754,-46.218214743762104
B3,2022,11.1899995803833,13.210000038146973,18.05183676060941
B3,2023,12.789999961853027,14.550000190734863,13.760752416975345
B3,2024,14.3100004196167,10.319999694824219,-27.882603828039265
BANCO DO BRASIL,2016,7.21999979019165,14.045000076293945,94.52909258216377
BANCO DO BRASIL,2017,13.949999809265137,15.90999984741211,14.050179677029131
BANCO DO BRASIL,2018,16.045000076293945,23.2450008392334,44.873797000333205
BANCO DO BRASIL,2019,23.100000381469727,26.40999984741211,14.329001780439734
BANCO DO BRASIL,2020,26.674999237060547,19.399999618530273,-27.272726622697903
BANCO DO BRASIL,2021,19.614999771118164,14.425000190734863,-26.45934050952804
BANCO DO BRASIL,2022,14.5649995803833,17.364999771118164,19.224169388277986
BANCO DO BRASIL,2023,17.110000610351562,27.69499969482422,61.86439922198906
BANCO DO BRASIL,2024,27.559999465942383,24.170000076293945,-12.300433437372421
BBSEGURIDADE,2016,23.850000381469727,28.299999237060547,18.65827582564003
BBSEGURIDADE,2017,27.850000381469727,28.489999771118164,2.298022911605658
BBSEGURIDADE,2018,28.649999618530273,27.59000015258789,-3.6998236651172425
BBSEGURIDADE,2019,27.8799991607666,37.70000076293945,35.22238844250681
BBSEGURIDADE,2020,38.0,29.6299991607666,-22.026317997982627
BBSEGURIDADE,2021,29.6299991607666,20.75,-29.96962339615825
BBSEGURIDADE,2022,20.920000076293945,33.709999084472656,61.137662340030474
BBSEGURIDADE,2023,33.349998474121094,33.650001525878906,0.8995594167436279
BBSEGURIDADE,2024,33.650001525878906,36.18000030517578,7.518569582682341
BRADESCO PN,2016,8.946910858154297,15.005598068237305,67.71820247388588
BRADESCO PN,2017,14.886588096618652,19.26667022705078,29.423008831869428
BRADESCO PN,2018,19.38050651550293,24.198596954345703,24.860498021497364
BRADESCO PN,2019,24.198596954345703,27.17505645751953,12.30013256053385
BRADESCO PN,2020,27.44552993774414,22.429752349853516,-18.275389833128113
BRADESCO PN,2021,22.752065658569336,17.46363639831543,-23.243732413641627
BRADESCO PN,2022,17.64545440673828,15.149999618530273,-14.142196231880924
BRADESCO PN,2023,14.899999618530273,17.09000015258789,14.697990537758399
BRADESCO PN,2024,16.950000762939453,11.5600004196167,-31.799410623672593
BTG PACTUAL,2016,,,
BTG PACTUAL,2017,4.550000190734863,4.747499942779541,4.340653709132699
BTG PACTUAL,2018,4.775000095367432,5.887499809265137,23.298422862379006
BTG PACTUAL,2019,5.912499904632568,18.899999618530273,219.66173231938194
BTG PACTUAL,2020,19.037500381469727,23.477500915527344,23.322392357661197
BTG PACTUAL,2021,23.75,20.969999313354492,-11.705266049033717
BTG PACTUAL,2022,20.799999237060547,23.93000030517578,15.0480826102067
BTG PACTUAL,2023,23.170000076293945,37.61000061035156,62.3219701618892
BTG PACTUAL,2024,37.61000061035156,27.200000762939453,-27.67880797254473
ELETROBRAS ON,2016,5.6078691482543945,22.801334381103516,306.5953355598724
ELETROBRAS ON,2017,22.491453170776367,19.332653045654297,-14.044446577717654
ELETROBRAS ON,2018,19.592554092407227,24.220796585083008,23.62245611698671
ELETROBRAS ON,2019,24.280773162841797,37.79999923706055,55.67872976511295
ELETROBRAS ON,2020,37.900001525878906,36.66999816894531,-3.2453913124349665
ELETROBRAS ON,2021,37.040000915527344,33.40999984741211,-9.800218624167261
ELETROBRAS ON,2022,33.439998626708984,42.119998931884766,25.956939777631888
ELETROBRAS ON,2023,40.849998474121094,42.43000030517578,3.8678136843888384
ELETROBRAS ON,2024,42.02000045776367,34.130001068115234,-18.776771308175157
EQUATORIAL,2016,6.769989967346191,10.867142677307129,60.51933207763681
EQUATORIAL,2017,10.867142677307129,13.114483833312988,20.680147696034016
EQUATORIAL,2018,13.114483833312988,14.894377708435059,13.571970485036106
EQUATORIAL,2019,14.890382766723633,22.76306915283203,52.87094703637793
EQUATORIAL,2020,22.852962493896484,23.132631301879883,1.2237748522017298
EQUATORIAL,2021,23.402311325073242,22.583280563354492,-3.49978577048174
EQUATORIAL,2022,22.27364730834961,26.988069534301758,21.165919351631636
EQUATORIAL,2023,26.898176193237305,35.720001220703125,32.79711220600819
EQUATORIAL,2024,35.720001220703125,27.399999618530273,-23.292276925653134
GERDAU PN,2016,3.6507930755615234,8.571428298950195,134.78263822530766
GERDAU PN,2017,8.49206256866455,9.825395584106445,15.700932543312296
GERDAU PN,2018,9.96031665802002,11.761903762817383,18.0876488835998
GERDAU PN,2019,11.746030807495117,15.873015403747559,35.13514193764094
GERDAU PN,2020,15.976189613342285,19.404760360717773,21.460503601635818
GERDAU PN,2021,19.682538986206055,21.634920120239258,9.919356112549675
GERDAU PN,2022,21.738094329833984,23.30952262878418,7.228914711228951
GERDAU PN,2023,23.238094329833984,19.799999237060547,-14.795081920118877
GERDAU PN,2024,19.799999237060547,18.139999389648438,-8.383837936240994
ITAUSA,2016,4.372239112854004,5.847630023956299,33.74451563650244
ITAUSA,2017,5.791131019592285,7.692030906677246,32.8243287995717
ITAUSA,2018,7.727577209472656,9.446554183959961,22.24470785461891
ITAUSA,2019,9.470013618469238,11.018372535705566,16.35012344878348
ITAUSA,2020,11.057473182678223,9.17285442352295,-17.043846528224645
ITAUSA,2021,9.25887393951416,7.332417964935303,-20.806590381982716
ITAUSA,2022,7.406317234039307,7.686312198638916,3.7804884094453493
ITAUSA,2023,7.623086929321289,9.876190185546875,29.55631067985457
ITAUSA,2024,9.819046974182129,8.829999923706055,-10.072739778887312
ITAUUNIBANCO,2016,14.280990600585938,20.51515007019043,43.65355068120211
ITAUUNIBANCO,2017,20.27272605895996,25.806060791015625,27.294477890949892
ITAUUNIBANCO,2018,25.93939208984375,32.272727966308594,24.41589939551661
ITAUUNIBANCO,2019,32.21818161010742,33.727272033691406,4.683971435279748
ITAUUNIBANCO,2020,33.890907287597656,28.754545211791992,-15.155575600908481
ITAUUNIBANCO,2021,29.07272720336914,19.045454025268555,-34.49030807449863
ITAUUNIBANCO,2022,19.245454788208008,22.727272033691406,18.09163401852557
ITAUUNIBANCO,2023,22.209089279174805,30.881818771362305,39.0503607922357
ITAUUNIBANCO,2024,30.80908966064453,27.936363220214844,-9.32428212606133
JBS,2016,,,
JBS,2017,,,
JBS,2018,,,
JBS,2019,,,
JBS,2020,,,
JBS,2021,,,
JBS,2022,,,
JBS,2023,,,
JBS,2024,,,
LOCALIZA,2016,7.222224235534668,10.297686576843262,42.583312855017084
LOCALIZA,2017,10.201391220092773,20.911046981811523,104.98230614491966
LOCALIZA,2018,21.176464080810547,28.20052719116211,33.16919710272382
LOCALIZA,2019,28.20052719116211,47.18777847290039,67.32941959925056
LOCALIZA,2020,47.993980407714844,68.62681579589844,42.990465081047844
LOCALIZA,2021,69.31358337402344,52.7515754699707,-23.894317820336003
LOCALIZA,2022,52.721717834472656,53.02507781982422,0.5753985223015767
LOCALIZA,2023,51.82902145385742,63.599998474121094,22.711169707773067
LOCALIZA,2024,63.33000183105469,32.20000076293945,-49.15521896108684
PETROBRAS ON,2016,8.3100004196167,16.940000534057617,103.85077832329375
PETROBRAS ON,2017,16.700000762939453,16.90999984741211,1.2574794902925097
PETROBRAS ON,2018,16.989999771118164,25.399999618530273,49.49970547797495
PETROBRAS ON,2019,25.40999984741211,32.0,25.934672145458716
PETROBRAS ON,2020,32.310001373291016,28.850000381469727,-10.708761512716897
PETROBRAS ON,2021,29.139999389648438,30.700000762939453,5.353470850947181
PETROBRAS ON,2022,30.84000015258789,28.040000915527344,-9.079115509750052
PETROBRAS ON,2023,26.850000381469727,38.97999954223633,45.17690498484315
PETROBRAS ON,2024,39.0,39.40999984741211,1.0512816600310497
PETROBRAS PN,2016,6.570000171661377,14.869999885559082,126.3318036078355
PETROBRAS PN,2017,14.640000343322754,16.100000381469727,9.972677622325827
PETROBRAS PN,2018,16.190000534057617,22.68000030517578,40.08647039551152
PETROBRAS PN,2019,22.549999237060547,30.18000030517578,33.83592605881536
PETROBRAS PN,2020,30.510000228881836,28.34000015258789,-7.112422353375622
PETROBRAS PN,2021,28.649999618530273,28.450000762939453,-0.6980762940794766
PETROBRAS PN,2022,28.540000915527344,24.5,-14.155573882022404
PETROBRAS PN,2023,23.540000915527344,37.2400016784668,58.19881151280127
PETROBRAS PN,2024,37.439998626708984,36.189998626708984,-3.3386753361370953
PETRORIO,2016,0.23499999940395355,0.43560001254081726,85.36170793432304
PETRORIO,2017,0.4339999854564667,1.6360000371932983,276.95854654755533
PETRORIO,2018,1.6363999843597412,1.9839999675750732,21.241749360645112
PETRORIO,2019,1.9600000381469727,6.611999988555908,237.34693162593197
PETRORIO,2020,6.739999771118164,14.038000106811523,108.27894040837072
PETRORIO,2021,14.199999809265137,20.670000076293945,45.56338277418355
PETRORIO,2022,20.65999984741211,37.209999084472656,80.10648286202003
PETRORIO,2023,36.880001068115234,46.04999923706055,24.8644194776699
PETRORIO,2024,46.58000183105469,40.150001525878906,-13.804207927035606
RAIADROGASIL,2016,6.730769157409668,11.76730728149414,74.82856723053597
RAIADROGASIL,2017,11.657691955566406,17.653846740722656,51.43517951933152
RAIADROGASIL,2018,17.692306518554688,10.990384101867676,-37.88043356392461
RAIADROGASIL,2019,10.961538314819336,21.46923065185547,95.85965067357716
RAIADROGASIL,2020,21.511537551879883,24.076923370361328,11.925627409451527
RAIADROGASIL,2021,24.259614944458008,23.36538314819336,-3.6860922908792144
RAIADROGASIL,2022,23.74038314819336,22.80769157409668,-3.9287132321099776
RAIADROGASIL,2023,22.384614944458008,29.399999618530273,31.340207064000168
RAIADROGASIL,2024,29.010000228881836,22.0,-24.164081949585114
REDE D'OR,2016,,,
REDE D'OR,2017,,,
REDE D'OR,2018,,,
REDE D'OR,2019,,,
REDE D'OR,2020,66.33441162109375,68.24281311035156,2.8769404033591486
REDE D'OR,2021,68.49259948730469,44.83000183105469,-34.547670599998085
REDE D'OR,2022,44.7599983215332,29.579999923706055,-33.914206807564454
REDE D'OR,2023,29.209999084472656,28.760000228881836,-1.5405644289459393
REDE D'OR,2024,28.110000610351562,25.420000076293945,-9.569549895587762
RUMO,2016,6.119999885559082,6.139999866485596,0.3267970800735825
RUMO,2017,6.139999866485596,12.970000267028809,111.23779395865947
RUMO,2018,12.970000267028809,17.0,31.07170123362219
RUMO,2019,16.709999084472656,26.100000381469727,56.19390671135639
RUMO,2020,26.31999969482422,19.239999771118164,-26.899696070658862
RUMO,2021,19.360000610351562,17.760000228881836,-8.264464519769826
RUMO,2022,17.899999618530273,18.610000610351562,3.9664860723588413
RUMO,2023,18.309999465942383,22.950000762939453,25.341351350816428
RUMO,2024,22.6200008392334,17.84000015258789,-21.131744072948074
SABESP,2016,18.549999237060547,28.790000915527344,55.20216765296988
SABESP,2017,28.450000762939453,34.33000183105469,20.667841512942417
SABESP,2018,34.56999969482422,31.5,-8.88053144901779
SABESP,2019,31.959999084472656,60.560001373291016,89.48686829816992
SABESP,2020,60.61000061035156,44.439998626708984,-26.678768884356202
SABESP,2021,44.689998626708984,40.18000030517578,-10.091739673578335
SABESP,2022,40.47999954223633,57.15999984741211,41.20553481669899
SABESP,2023,56.349998474121094,75.37000274658203,33.753335913923635
SABESP,2024,75.3499984741211,88.5,17.4518935529843
SUZANO,2016,20.010000228881836,20.010000228881836,0.0
SUZANO,2017,20.010000228881836,18.690000534057617,-6.596700048603552
SUZANO,2018,18.6200008392334,38.08000183105469,104.51127881164194
SUZANO,2019,37.95000076293945,39.68000030517578,4.558628478146912
SUZANO,2020,40.04999923706055,58.540000915527344,46.167295956792294
SUZANO,2021,59.7400016784668,60.11000061035156,0.6193487135741599
SUZANO,2022,60.34000015258789,48.2400016784668,-20.053030234541925
SUZANO,2023,48.2400016784668,55.630001068115234,15.31923534933698
SUZANO,2024,55.70000076293945,61.779998779296875,10.915615678775374
ULTRAPAR,2016,13.55454158782959,15.768327713012695,16.332430800690663
ULTRAPAR,2017,15.533357620239258,17.277204513549805,11.226464592808922
ULTRAPAR,2018,17.348617553710938,12.25529670715332,-29.358655413255885
ULTRAPAR,2019,12.25529670715332,11.739283561706543,-4.210531640132258
ULTRAPAR,2020,11.739283561706543,10.9376220703125,-6.828879183130534
ULTRAPAR,2021,11.05741024017334,14.539999961853027,31.49552784997415
ULTRAPAR,2022,14.539999961853027,12.609999656677246,-13.273729781563324
ULTRAPAR,2023,12.399999618530273,26.510000228881836,113.79033100344537
ULTRAPAR,2024,26.239999771118164,15.880000114440918,-39.48170635306288
VALE,2016,12.489999771118164,25.68000030517578,105.60448979797528
VALE,2017,25.280000686645508,40.2599983215332,59.25631814876127
VALE,2018,40.439998626708984,51.0,26.112763926546133
VALE,2019,50.0099983215332,53.29999923706055,6.578686314633892
VALE,2020,53.97999954223633,87.44999694824219,62.00444181148512
VALE,2021,89.3499984741211,77.95999908447266,-12.747621246963291
VALE,2022,79.0,88.87999725341797,12.506325637237936
VALE,2023,88.68000030517578,77.19999694824219,-12.945425481988373
VALE,2024,77.5999984741211,54.54999923706055,-29.703607848326847
VIBRA,2016,,,
VIBRA,2017,,,
VIBRA,2018,23.299999237060547,25.700000762939453,10.300436070665222
VIBRA,2019,25.8700008392334,30.06999969482422,16.23501630978408
VIBRA,2020,30.25,22.1299991607666,-26.842977980936855
VIBRA,2021,22.299999237060547,21.399999618530273,-4.035872866912735
VIBRA,2022,21.309999465942383,15.550000190734863,-27.029560861384084
VIBRA,2023,15.319999694824219,22.760000228881836,48.56397312182181
VIBRA,2024,22.690000534057617,17.84000015258789,-21.37505626846457
WEG,2016,5.715384006500244,5.961537837982178,4.306864266722531
WEG,2017,5.923076152801514,9.273076057434082,56.55844730357005
WEG,2018,9.365384101867676,8.770000457763672,-6.357279505335724
WEG,2019,8.8100004196167,17.329999923706055,96.70827580346516
WEG,2020,17.450000762939453,37.869998931884766,117.02004169715327
WEG,2021,37.92499923706055,32.97999954223633,-13.03889200870948
WEG,2022,32.720001220703125,38.5099983215332,17.69558950128198
WEG,2023,38.5,36.90999984741211,-4.129870526202313
WEG,2024,36.90999984741211,52.77000045776367,42.969386821776325
